Term;NES_BIMplusBAK;FDR_BIMplusBAK;NES_BIMminusPF;FDR_BIMminusPF
positive regulation of response to external stimulus (GO:0032103);;;-1.8922128186639533;0.0478616591746893
positive regulation of telomerase RNA localization to Cajal body (GO:1904874);-2.0761445847770204;0.0017714681136848;;
positive regulation of telomerase activity (GO:0051973);-1.8101052678563745;0.0454252967646791;;
positive regulation of telomere maintenance via telomerase (GO:0032212);-1.9341179666867083;0.013308438093178;;
positive regulation of telomere maintenance via telomere lengthening (GO:1904358);-1.839934424659376;0.0353666227780034;;
positive regulation of toll-like receptor 3 signaling pathway (GO:0034141);-1.8513691463752493;0.0331611226094442;;
positive regulation of toll-like receptor signaling pathway (GO:0034123);-1.9350457586267484;0.0133103757053324;;
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440);-1.817966375648406;0.0435401555656391;;
positive regulation of unsaturated fatty acid biosynthetic process (GO:2001280);-1.8464990992987425;0.033372983038394;-1.903193067884373;0.0477859766016743
pre-replicative complex assembly (GO:0036388);-2.2572347790581078;5.904893712282747e-05;;
protein import into peroxisome matrix (GO:0016558);2.0568078465277724;0.0459841183506846;;
protein localization to chromosome, centromeric region (GO:0071459);-2.307183952558009;0.0;;
protein localization to condensed chromosome (GO:1903083);-2.1708882469990827;0.0002636840468071;;
protein localization to kinetochore (GO:0034501);-2.279003600214777;3.212956872859731e-05;;
protein peptidyl-prolyl isomerization (GO:0000413);-1.9448062044515175;0.0117652054770377;;
protein targeting to ER (GO:0045047);-2.8310970682919314;0.0;;
protein targeting to mitochondrion (GO:0006626);-1.859997030034009;0.0300838188447061;;
protein-DNA complex assembly (GO:0065004);-1.9194576824904284;0.0157893030620516;;
purine ribonucleoside monophosphate metabolic process (GO:0009167);;;-2.0461806151040074;0.0169661408056388
rRNA metabolic process (GO:0016072);-2.761571548494132;0.0;;
rRNA processing (GO:0006364);-2.7514161291373456;0.0;;
regulation of DNA binding (GO:0051101);;;-1.8965683587886497;0.0490751030953632
regulation of G2/M transition of mitotic cell cycle (GO:0010389);-2.337957870998061;0.0;;
regulation of NMDA receptor activity (GO:2000310);2.1446244002169803;0.0224068067599699;;
regulation of anoikis (GO:2000209);;;-2.032571886465499;0.0180389412781265
regulation of cell cycle G2/M phase transition (GO:1902749);-2.028173433129372;0.0037510303732543;;
regulation of cell cycle phase transition (GO:1901987);-2.1701838688863253;0.0002592148256747;;
regulation of cell cycle process (GO:0010564);-2.016144786785065;0.004603708204969;;
regulation of cell-cell adhesion (GO:0022407);;;-1.911566309242032;0.0453571481815312
regulation of cellular amine metabolic process (GO:0033238);-2.2384261292142758;7.802895262659346e-05;;
regulation of cellular amino acid metabolic process (GO:0006521);-2.204443424524061;0.0001470545645655;;
regulation of cellular carbohydrate metabolic process (GO:0010675);2.0693450668914486;0.0416843046867245;;
regulation of cellular extravasation (GO:0002691);;;-1.94880731821386;0.0312552470989125
regulation of cellular ketone metabolic process (GO:0010565);-2.035389776415052;0.0033851078954302;;
regulation of endothelial cell proliferation (GO:0001936);-1.7997961240731195;0.0499145207725193;;
regulation of epidermis development (GO:0045682);-1.8226975777029824;0.0415545240606413;;
regulation of establishment of protein localization to telomere (GO:0070203);-2.062981472111664;0.0021273156558197;;
regulation of hematopoietic progenitor cell differentiation (GO:1901532);-1.9542898877619843;0.0104335856654987;;
regulation of hematopoietic stem cell differentiation (GO:1902036);-1.8481612418264464;0.0333622184602579;;
regulation of inflammatory response (GO:0050727);;;-2.0893981422048693;0.0150192066148278
regulation of intracellular pH (GO:0051453);;;-1.9319895612312896;0.0375082831862366
regulation of intrinsic apoptotic signaling pathway (GO:2001242);;;-2.1241599723154594;0.0133504058798469
regulation of keratinocyte proliferation (GO:0010837);;;-1.8932736778571209;0.0489514882261054
regulation of mRNA catabolic process (GO:0061013);-1.8379013474779404;0.0354920264518676;;
regulation of mRNA stability (GO:0043488);-1.9606531589155007;0.0096361649706862;;
regulation of mitotic cell cycle (GO:0007346);-2.2239770906287983;0.0001162133336991;;
regulation of mitotic cell cycle phase transition (GO:1901990);-2.282367723792013;3.3103192023403286e-05;;
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266);-1.866704841394212;0.0277058077932567;;
regulation of mitotic metaphase/anaphase transition (GO:0030071);-1.9553386434200648;0.0103947435653694;;
regulation of mitotic nuclear division (GO:0007088);-1.949323964838383;0.0110785349304989;;
regulation of monocyte chemotaxis (GO:0090025);-1.8169520848570648;0.0431674057919452;;
regulation of neurotransmitter receptor activity (GO:0099601);2.130343673336159;0.0239421442652324;2.4980250218426043;0.0
regulation of plasminogen activation (GO:0010755);;;-2.146333626026612;0.0300384132296556
regulation of protein localization to Cajal body (GO:1904869);-1.976255408291479;0.0078465243544505;;
regulation of stem cell differentiation (GO:2000736);-1.853311161528418;0.0324552791657849;;
regulation of telomerase RNA localization to Cajal body (GO:1904872);-1.847553679909729;0.0331886887567586;;
regulation of telomere maintenance via telomerase (GO:0032210);-1.893685599185429;0.0209891213424286;;
regulation of toll-like receptor 3 signaling pathway (GO:0034139);-1.8147061715630424;0.0438473638948482;;
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418);-1.8095463905748488;0.0454480586146186;;
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618);-1.9210813282766832;0.0156714223546307;;
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083);;;-2.0459800505645225;0.0156610530513589
regulation of ubiquitin-dependent protein catabolic process (GO:2000058);-1.828760193355206;0.0388708203607788;;
regulation of vascular endothelial growth factor signaling pathway (GO:1900746);-1.8444276428552304;0.0338955556622613;-1.910509441995378;0.0449741798077343
regulation of vesicle size (GO:0097494);-1.8395348384271304;0.0352959931226087;;
regulation of water loss via skin (GO:0033561);-1.8904344667730784;0.0214900915410417;;
regulation of wound healing (GO:0061041);-2.2429565552012654;7.993209781260793e-05;-1.9680830845733608;0.0282840329698039
rhodopsin mediated signaling pathway (GO:0016056);2.3278195458099558;0.0018393647340273;;
ribonucleoprotein complex assembly (GO:0022618);-2.4102605675242077;0.0;;
ribonucleoprotein complex biogenesis (GO:0022613);-2.482285313773376;0.0;;
ribosomal large subunit assembly (GO:0000027);-2.185249053562396;0.0002267256359338;;
ribosomal large subunit biogenesis (GO:0042273);-2.619142765607807;0.0;;
ribosomal large subunit export from nucleus (GO:0000055);-1.8479916399624197;0.0332312869838416;;
ribosomal small subunit assembly (GO:0000028);-1.9576978506152625;0.0101047493651438;;
ribosomal small subunit biogenesis (GO:0042274);-2.2527504409070795;5.602078650114402e-05;;
ribosomal subunit export from nucleus (GO:0000054);-1.9016045574919391;0.0192548314577171;;
ribosome assembly (GO:0042255);-2.43505808241519;0.0;;
ribosome biogenesis (GO:0042254);-2.7645658844445853;0.0;;
sensory perception of light stimulus (GO:0050953);2.126503716552233;0.0229920591753423;;
sister chromatid segregation (GO:0000819);-2.179757187082316;0.0002340868578797;;
skin development (GO:0043588);-2.0797898044130263;0.0017508414301693;;
spindle assembly checkpoint signaling (GO:0071173);-2.129033945076772;0.0007663141914671;;
spliceosomal snRNP assembly (GO:0000387);-1.9189362847083904;0.0158348663495435;;
synaptic vesicle exocytosis (GO:0016079);2.110893304147302;0.0260469481566815;;
tRNA export from nucleus (GO:0006409);-1.88962222934599;0.0211944543618037;;
tRNA transport (GO:0051031);-1.97807414277072;0.0078028952626593;-1.8971787681631;0.0498111734532168
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431);-1.88962222934599;0.0211944543618037;;
translation (GO:0006412);-2.579978897933369;0.0;;
translational elongation (GO:0006414);-2.252938320313228;5.749501772485833e-05;;
translational termination (GO:0006415);-2.3619078747193627;0.0;;
visual perception (GO:0007601);2.270629986585776;0.0050164492746201;;
