Gene ID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ENSMUSG00000000305;323.2182997603551;0.08367481696412413;0.0896008920885871;0.933861427198694;0.3503753782481135;0.8387781440031846
ENSMUSG00000000308;5523.718663148154;-0.0027729575490268556;0.10744872054222253;-0.025807264479591526;0.9794110675631714;0.9981761367946816
ENSMUSG00000000317;30.02571882335445;0.01623831022727284;0.35496182717615443;0.045746638044023714;0.9635121909131862;
ENSMUSG00000000318;19.86554602689411;0.08419047213046943;0.45241213774696537;0.18609242570224158;0.8523722815828503;
ENSMUSG00000000320;42.5766555568481;0.47003314517680156;0.29058173109631713;1.617559174843662;0.10575763326847654;
ENSMUSG00000000326;972.6176454014982;0.3979138583247529;0.17522731961069232;2.2708437200820613;0.02315644023753957;0.48792799400434694
ENSMUSG00000000339;1429.271835501538;-0.04963748543210527;0.08611273378026996;-0.5764244526107258;0.5643283203166725;0.915545312918821
ENSMUSG00000000340;499.42583884593137;-0.0956533103640816;0.08013307882014943;-1.1936807092956674;0.23260288926588535;0.7728007463574709
ENSMUSG00000000346;2813.6559960658637;0.06413194729689642;0.04982285974700737;1.2871992419252596;0.19802485142701332;0.7585669589805776
ENSMUSG00000000355;683.1520042871506;-0.07263417743172634;0.08872419430762601;-0.8186513047375545;0.4129853866173566;0.8655135237338678
ENSMUSG00000000359;11.650557107813363;0.31638086986998093;0.429338790717323;0.7369025969942846;0.4611815846338071;
ENSMUSG00000000365;22.939663910770964;-0.5316426288101851;0.4059426393883757;-1.3096496332861178;0.19031438958251246;
ENSMUSG00000000374;2180.383755411093;-0.18542182527496073;0.10057335529012217;-1.843647601694084;0.06523451394492216;0.630319569892225
ENSMUSG00000000378;829.5585220809411;0.049046869436047615;0.05971140348263093;0.821398704023337;0.41141920151647793;0.8641151656031634
ENSMUSG00000000384;436.5875843231291;0.047351805146717406;0.0869215044740724;0.5447651353163343;0.5859150603390046;0.9231742025505042
ENSMUSG00000000392;75.62084041833178;0.08783153366291908;0.2715456688704256;0.32345032063402185;0.7463542254365603;
ENSMUSG00000000399;2616.516781147729;-0.03362900159765495;0.06703068674859759;-0.5016956147828596;0.6158816496487203;0.9322645462088298
ENSMUSG00000000402;15.617304262644632;0.079302355726723;0.44871043400275207;0.17673392396807208;0.8597173928247532;
ENSMUSG00000000409;38.70148186137537;-0.011439928565964796;0.2536517426082972;-0.04510092636592273;0.9640268630423122;
ENSMUSG00000000416;461.5044355607736;-0.022340551907900696;0.12262839491160211;-0.18218090454502892;0.8554407581825816;0.9834073296428222
ENSMUSG00000000420;1168.4114452395286;-0.046279654778647816;0.06282351233084067;-0.7366613718591579;0.461328303087317;0.8865099944622
ENSMUSG00000000439;679.7110773145329;0.011121376893957532;0.06707392564311977;0.16580775297290692;0.8683082445926087;0.9877965735489979
ENSMUSG00000000440;29.647890489744697;0.008027396444235946;0.3027909788841257;0.026511346123386088;0.9788494838829694;
ENSMUSG00000000441;1826.1662337815042;0.013250544380318216;0.04823132687496992;0.2747290037171816;0.7835244464990844;0.9697878871249257
ENSMUSG00000000486;28.804663926009002;0.0012768255008687715;0.28525248339459647;0.004476124048681844;0.996428581655292;
ENSMUSG00000000489;215.83175982307117;0.11669508476820908;0.13282914017070618;0.8785352718404837;0.37965330504798467;0.8518309206150662
ENSMUSG00000000530;205.18542774956316;0.3150383411289467;0.15313401478802888;2.057272132289021;0.03966005642191062;0.5579896254968513
ENSMUSG00000000531;193.77736865994157;0.000572246925252832;0.11644215271501793;0.004914431002090426;0.9960788671619337;0.9992085132244042
ENSMUSG00000000532;1175.82344762852;-0.10508066595699107;0.07006664613948024;-1.4997245015525522;0.13368578107735135;0.7047831283031297
ENSMUSG00000000538;6500.602732431084;-0.0823635436506717;0.0799787948420771;-1.0298172636047271;0.3030957951438189;0.8176356400804375
ENSMUSG00000000552;564.2831355353129;-0.004867949022178195;0.11933282071866347;-0.04079304413372385;0.9674608847219471;0.9967713315654304
ENSMUSG00000000555;76.62284844100772;0.09605893454329971;0.2843342841394915;0.33783803045071475;0.7354852489538461;
ENSMUSG00000000560;1317.3978774696445;-0.022397675229147283;0.1469235252047317;-0.15244444480852926;0.8788364048018538;0.9889471562910385
ENSMUSG00000000561;1159.7305504024282;-0.09470680235905621;0.06537500635376343;-1.4486698761690329;0.14742979687097663;0.7203835211777659
ENSMUSG00000000563;5690.393627453713;0.03326872210465464;0.05945669379246518;0.5595454436262434;0.5757895262263922;0.9193821715786255
ENSMUSG00000000567;86.43292903969775;0.38566325677575336;0.2935703109129623;1.3136997933353511;0.18894725054612993;
ENSMUSG00000000568;1499.3185723163617;-0.08021428636567365;0.08737167787119347;-0.9180811027107489;0.35857640741577257;0.8440252550130478
ENSMUSG00000000579;157.25594173645115;0.101465092744304;0.17709371375637747;0.572945761834813;0.5666814184926223;0.9167118052937341
ENSMUSG00000000581;1016.2372973783777;-0.005227965799424124;0.064776546341317;-0.08070769583603941;0.935674416393291;0.9952050444649846
ENSMUSG00000000594;1025.8740399643434;0.10340282406480136;0.0807115454081644;1.2811404309245407;0.20014434489959265;0.7585669589805776
ENSMUSG00000000600;825.5440335061653;-0.00794320221747492;0.0789409798244996;-0.10062203731362504;0.919850502244232;0.994111737252109
ENSMUSG00000000605;2790.343041660064;-0.01147601990911852;0.04261398836170509;-0.26930170937558634;0.7876975168659592;0.9700107672732828
ENSMUSG00000000627;1745.0631069408375;-0.04715843755007103;0.07825989150943347;-0.6025875661274912;0.546783094002087;0.9099945473707319
ENSMUSG00000000628;96.14501408215676;-0.011286646399768882;0.255416021149519;-0.04418926561056147;0.9647535384984168;
ENSMUSG00000000631;4035.7361264928186;-0.1711996282063728;0.06847358072312151;-2.5002289408324123;0.01241130706058935;0.4044192851522546
ENSMUSG00000000632;788.231291871392;0.07820253048675073;0.11046902000114789;0.7079136801063152;0.47899886381698054;0.8920846314752484
ENSMUSG00000000682;76.11928411817412;1.4166784658354068;0.7783023991657959;1.820215982057666;0.06872612019387773;
ENSMUSG00000000686;29.371544043830237;0.03285399147175344;0.2890650892658799;0.11365603350854514;0.9095104667725495;
ENSMUSG00000000693;164.00886855984814;0.007183943624880801;0.1622816286184095;0.04426837274213701;0.9646904818450202;0.996373284296139
ENSMUSG00000000708;909.0577313505408;-0.07229126392233577;0.07341425315876646;-0.9847033894902928;0.3247697873365526;0.8273784151235803
ENSMUSG00000000711;4731.149720109225;-0.011650537956772539;0.06119213269169895;-0.1903927424048255;0.8490013843819408;0.982621696099949
ENSMUSG00000000732;89.21803926279642;0.19496762187307703;0.2522346356306623;0.7729613396891329;0.43954526085590584;
